"Date","Price","Open","High","Low","Change %"
"Oct 11, 2016","1.3262","1.3175","1.3274","1.3160","0.66%"
"Oct 10, 2016","1.3175","1.3280","1.3280","1.3137","-0.92%"
"Oct 07, 2016","1.3298","1.3218","1.3314","1.3185","0.61%"
"Oct 06, 2016","1.3218","1.3176","1.3249","1.3175","0.32%"
"Oct 05, 2016","1.3176","1.3192","1.3233","1.3159","-0.12%"
"Oct 04, 2016","1.3192","1.3121","1.3216","1.3108","0.56%"
"Oct 03, 2016","1.3119","1.3134","1.3146","1.3067","-0.08%"
"Sep 30, 2016","1.3129","1.3145","1.3196","1.3084","-0.11%"
"Sep 29, 2016","1.3143","1.3081","1.3186","1.3046","0.48%"
"Sep 28, 2016","1.3080","1.3196","1.3271","1.3074","-0.87%"
"Sep 27, 2016","1.3195","1.3226","1.3282","1.3162","-0.22%"
"Sep 26, 2016","1.3224","1.3167","1.3244","1.3137","0.43%"
"Sep 23, 2016","1.3168","1.3046","1.3181","1.3026","0.97%"
"Sep 22, 2016","1.3042","1.3100","1.3104","1.2998","-0.45%"
"Sep 21, 2016","1.3101","1.3187","1.3239","1.3098","-0.67%"
"Sep 20, 2016","1.3189","1.3203","1.3244","1.3183","-0.11%"
"Sep 19, 2016","1.3204","1.3210","1.3226","1.3135","-0.04%"
"Sep 16, 2016","1.3209","1.3160","1.3249","1.3139","0.36%"
"Sep 15, 2016","1.3161","1.3194","1.3236","1.3127","-0.26%"
"Sep 14, 2016","1.3195","1.3177","1.3210","1.3126","0.16%"
"Sep 13, 2016","1.3174","1.3038","1.3191","1.3027","1.05%"
"Sep 12, 2016","1.3037","1.3044","1.3125","1.3032","-0.08%"
"Sep 09, 2016","1.3048","1.2939","1.3054","1.2908","0.88%"
"Sep 08, 2016","1.2934","1.2881","1.2940","1.2849","0.39%"
"Sep 07, 2016","1.2884","1.2844","1.2915","1.2820","0.31%"
"Sep 06, 2016","1.2844","1.2927","1.2935","1.2825","-0.65%"
"Sep 05, 2016","1.2928","1.2994","1.3001","1.2906","-0.54%"
"Sep 02, 2016","1.2998","1.3102","1.3116","1.2979","-0.79%"
"Sep 01, 2016","1.3102","1.3107","1.3149","1.3080","-0.03%"
"Aug 31, 2016","1.3106","1.3100","1.3147","1.3077","0.05%"
"Aug 30, 2016","1.3099","1.3008","1.3104","1.3007","0.70%"
"Aug 29, 2016","1.3008","1.2996","1.3049","1.2973","0.04%"
"Aug 26, 2016","1.3003","1.2922","1.3012","1.2830","0.63%"
"Aug 25, 2016","1.2922","1.2928","1.2941","1.2896","-0.03%"
"Aug 24, 2016","1.2926","1.2910","1.2960","1.2899","0.10%"
"Aug 23, 2016","1.2913","1.2946","1.2954","1.2856","-0.25%"
"Aug 22, 2016","1.2946","1.2870","1.2966","1.2870","0.57%"
"Aug 19, 2016","1.2872","1.2782","1.2893","1.2770","0.70%"
"Aug 18, 2016","1.2782","1.2844","1.2858","1.2761","-0.49%"
"Aug 17, 2016","1.2845","1.2864","1.2919","1.2829","-0.12%"
"Aug 16, 2016","1.2860","1.2923","1.2935","1.2796","-0.47%"
"Aug 15, 2016","1.2921","1.2954","1.2976","1.2900","-0.21%"
"Aug 12, 2016","1.2948","1.2991","1.2997","1.2922","-0.33%"
"Aug 11, 2016","1.2991","1.3057","1.3081","1.2956","-0.51%"
"Aug 10, 2016","1.3058","1.3115","1.3125","1.2989","-0.45%"
"Aug 09, 2016","1.3117","1.3150","1.3191","1.3107","-0.29%"
