Date,Close,Trend
29/3/2021,1.17628,Sideway
30/3/2021,1.17128,Sideway
31/3/2021,1.17262,Sideway
1/4/2021,1.17727,Sideway
2/4/2021,1.17583,Sideway
5/4/2021,1.18106,Sideway
6/4/2021,1.18725,Sideway
7/4/2021,1.18622,Sideway
8/4/2021,1.1909,Sideway
9/4/2021,1.19011,Sideway
12/4/2021,1.19065,Sideway
13/4/2021,1.19455,Sideway
14/4/2021,1.19754,Sideway
15/4/2021,1.19631,Sideway
16/4/2021,1.19807,Sideway
19/4/2021,1.20348,Sideway
20/4/2021,1.20315,Sideway
21/4/2021,1.2031,Sideway
22/4/2021,1.20111,Sideway
23/4/2021,1.2096,Sideway
26/4/2021,1.20799,Sideway
27/4/2021,1.20857,Sideway
28/4/2021,1.21213,Sideway
29/4/2021,1.21132,Sideway
30/4/2021,1.20185,Sideway
3/5/2021,1.20597,Sideway
4/5/2021,1.20092,Sideway
5/5/2021,1.19994,Sideway
6/5/2021,1.206,Sideway
7/5/2021,1.2163,Sideway
10/5/2021,1.21264,Sideway
11/5/2021,1.21447,Sideway
12/5/2021,1.20665,Sideway
13/5/2021,1.20747,Sideway
14/5/2021,1.21446,Sideway
17/5/2021,1.21504,Sideway
18/5/2021,1.22195,Sideway
19/5/2021,1.21705,Sideway
20/5/2021,1.22244,Sideway
21/5/2021,1.21789,Sideway
24/5/2021,1.22103,Sideway
25/5/2021,1.22451,Sideway
26/5/2021,1.21869,Sideway
27/5/2021,1.21907,Sideway
28/5/2021,1.21911,Sideway
31/5/2021,1.22229,Sideway
1/6/2021,1.2211,Sideway
2/6/2021,1.22062,Sideway
3/6/2021,1.21229,Sideway
4/6/2021,1.21652,Sideway
7/6/2021,1.21878,Sideway
8/6/2021,1.21679,Sideway
9/6/2021,1.21738,Sideway
10/6/2021,1.21636,Sideway
11/6/2021,1.21069,Sideway
14/6/2021,1.21181,Sideway
15/6/2021,1.21239,Sideway
16/6/2021,1.19918,Sideway
17/6/2021,1.19018,Sideway
18/6/2021,1.18599,Sideway
21/6/2021,1.19109,Sideway
22/6/2021,1.19327,Sideway
23/6/2021,1.19211,Sideway
24/6/2021,1.19274,Sideway
25/6/2021,1.19334,Down
28/6/2021,1.19212,Sideway
29/6/2021,1.18917,Sideway
30/6/2021,1.18522,Sideway
1/7/2021,1.18455,Sideway
2/7/2021,1.18656,Sideway
5/7/2021,1.18589,Sideway
6/7/2021,1.18193,Sideway
7/7/2021,1.17864,Sideway
8/7/2021,1.18377,Sideway
9/7/2021,1.18754,Sideway
12/7/2021,1.18544,Sideway
13/7/2021,1.17797,Sideway
14/7/2021,1.1834,Sideway
15/7/2021,1.1809,Sideway
16/7/2021,1.18035,Sideway
19/7/2021,1.17966,Sideway
20/7/2021,1.1775,Down
21/7/2021,1.17924,Sideway
22/7/2021,1.17664,Sideway
23/7/2021,1.177,Sideway
26/7/2021,1.17969,Down
27/7/2021,1.18119,Sideway
28/7/2021,1.18405,Sideway
29/7/2021,1.18813,Sideway
30/7/2021,1.18665,Sideway
2/8/2021,1.1865,Sideway
3/8/2021,1.18593,Sideway
4/8/2021,1.18318,Sideway
5/8/2021,1.18281,Sideway
6/8/2021,1.1759,Sideway
9/8/2021,1.17344,Sideway
10/8/2021,1.17184,Sideway
11/8/2021,1.17345,Sideway
12/8/2021,1.17284,Sideway
13/8/2021,1.17934,Sideway
16/8/2021,1.17726,Sideway
17/8/2021,1.17053,Sideway
18/8/2021,1.17054,Sideway
19/8/2021,1.16724,Sideway
20/8/2021,1.16982,Sideway
23/8/2021,1.17399,Down
