"Date","Price","Open","High","Low","Change %"
"Apr 16, 2021","1.5492","1.5437","1.5502","1.5430","0.38%"
"Apr 15, 2021","1.5433","1.5512","1.5538","1.5427","-0.45%"
"Apr 14, 2021","1.5503","1.5639","1.5660","1.5484","-0.84%"
"Apr 13, 2021","1.5635","1.5625","1.5678","1.5608","0.10%"
"Apr 12, 2021","1.5620","1.5619","1.5655","1.5580","0.05%"
"Apr 09, 2021","1.5612","1.5567","1.5666","1.5553","0.31%"
"Apr 08, 2021","1.5563","1.5583","1.5606","1.5525","-0.15%"
"Apr 07, 2021","1.5586","1.5498","1.5617","1.5467","0.59%"
"Apr 06, 2021","1.5495","1.5444","1.5529","1.5422","0.38%"
"Apr 05, 2021","1.5437","1.5467","1.5470","1.5403","-0.16%"
"Apr 02, 2021","1.5462","1.5461","1.5489","1.5418","0.05%"
"Apr 01, 2021","1.5455","1.5439","1.5559","1.5427","0.15%"
"Mar 31, 2021","1.5432","1.5422","1.5451","1.5379","0.11%"
"Mar 30, 2021","1.5415","1.5416","1.5448","1.5355","0.03%"
"Mar 29, 2021","1.5411","1.5441","1.5467","1.5385","-0.19%"
"Mar 26, 2021","1.5441","1.5520","1.5535","1.5424","-0.51%"
"Mar 25, 2021","1.5520","1.5581","1.5588","1.5505","-0.35%"
"Mar 24, 2021","1.5575","1.5547","1.5611","1.5507","0.25%"
"Mar 23, 2021","1.5536","1.5407","1.5551","1.5397","0.88%"
"Mar 22, 2021","1.5401","1.5402","1.5476","1.5371","0.20%"
"Mar 19, 2021","1.5371","1.5357","1.5416","1.5332","0.14%"
"Mar 18, 2021","1.5350","1.5365","1.5372","1.5265","-0.05%"
"Mar 17, 2021","1.5358","1.5371","1.5466","1.5336","-0.02%"
"Mar 16, 2021","1.5361","1.5382","1.5475","1.5343","-0.12%"
"Mar 15, 2021","1.5379","1.5417","1.5461","1.5373","-0.06%"
"Mar 12, 2021","1.5388","1.5388","1.5428","1.5364","0.05%"
"Mar 11, 2021","1.5380","1.5419","1.5438","1.5350","-0.23%"
"Mar 10, 2021","1.5415","1.5431","1.5481","1.5387","-0.08%"
"Mar 09, 2021","1.5428","1.5487","1.5534","1.5404","-0.33%"
"Mar 08, 2021","1.5479","1.5502","1.5544","1.5441","-0.14%"
"Mar 05, 2021","1.5501","1.5490","1.5615","1.5474","0.10%"
"Mar 04, 2021","1.5486","1.5514","1.5546","1.5418","-0.15%"
"Mar 03, 2021","1.5510","1.5462","1.5519","1.5419","0.33%"
"Mar 02, 2021","1.5459","1.5503","1.5539","1.5407","-0.23%"
"Mar 01, 2021","1.5495","1.5658","1.5682","1.5475","-1.09%"
"Feb 26, 2021","1.5666","1.5469","1.5693","1.5444","1.31%"
"Feb 25, 2021","1.5464","1.5267","1.5482","1.5250","1.35%"
"Feb 24, 2021","1.5258","1.5358","1.5379","1.5261","-0.63%"
"Feb 23, 2021","1.5355","1.5355","1.5405","1.5341","0.02%"
"Feb 22, 2021","1.5352","1.5417","1.5426","1.5342","-0.27%"
"Feb 19, 2021","1.5394","1.5563","1.5580","1.5391","-1.06%"
"Feb 18, 2021","1.5559","1.5530","1.5609","1.5503","0.23%"
"Feb 17, 2021","1.5524","1.5606","1.5640","1.5527","-0.49%"
"Feb 16, 2021","1.5600","1.5588","1.5634","1.5556","0.10%"
"Feb 15, 2021","1.5585","1.5628","1.5644","1.5574","-0.21%"
"Feb 12, 2021","1.5618","1.5647","1.5687","1.5611","-0.16%"
"Feb 11, 2021","1.5643","1.5692","1.5711","1.5620","-0.29%"
"Feb 10, 2021","1.5688","1.5660","1.5709","1.5647","0.21%"
"Feb 09, 2021","1.5655","1.5646","1.5692","1.5618","0.08%"
"Feb 08, 2021","1.5643","1.5683","1.5741","1.5614","-0.25%"
"Feb 05, 2021","1.5682","1.5738","1.5769","1.5687","-0.35%"
"Feb 04, 2021","1.5737","1.5797","1.5805","1.5703","-0.35%"
"Feb 03, 2021","1.5793","1.5832","1.5842","1.5761","-0.21%"
"Feb 02, 2021","1.5827","1.5824","1.5900","1.5767","0.04%"
"Feb 01, 2021","1.5821","1.5876","1.5939","1.5784","-0.35%"
"Jan 29, 2021","1.5877","1.5781","1.5897","1.5769","0.64%"
"Jan 28, 2021","1.5776","1.5805","1.5951","1.5758","-0.15%"
"Jan 27, 2021","1.5799","1.5703","1.5828","1.5671","0.68%"
"Jan 26, 2021","1.5692","1.5747","1.5799","1.5688","-0.33%"
"Jan 25, 2021","1.5744","1.5768","1.5794","1.5704","-0.13%"
"Jan 22, 2021","1.5764","1.5668","1.5808","1.5655","0.64%"
"Jan 21, 2021","1.5663","1.5628","1.5689","1.5594","0.26%"
"Jan 20, 2021","1.5622","1.5760","1.5770","1.5599","-0.84%"
"Jan 19, 2021","1.5754","1.5724","1.5773","1.5668","0.24%"
"Jan 18, 2021","1.5716","1.5667","1.5754","1.5656","0.24%"
"Jan 15, 2021","1.5678","1.5627","1.5737","1.5610","0.33%"
"Jan 14, 2021","1.5627","1.5721","1.5735","1.5588","-0.57%"
"Jan 13, 2021","1.5717","1.5706","1.5750","1.5682","0.11%"
"Jan 12, 2021","1.5700","1.5785","1.5798","1.5691","-0.48%"
"Jan 11, 2021","1.5776","1.5760","1.5835","1.5730","0.21%"
"Jan 08, 2021","1.5743","1.5797","1.5825","1.5722","-0.31%"
"Jan 07, 2021","1.5792","1.5799","1.5869","1.5781","-0.02%"
"Jan 06, 2021","1.5795","1.5848","1.5884","1.5767","-0.29%"
"Jan 05, 2021","1.5841","1.5980","1.5993","1.5813","-0.86%"
"Jan 04, 2021","1.5979","1.5878","1.6033","1.5845","1.45%"
"Jan 01, 2021","1.5750","1.5876","1.5880","1.5754","-0.75%"
"Dec 31, 2020","1.5869","1.6001","1.6018","1.5826","-0.79%"
"Dec 30, 2020","1.5995","1.6103","1.6119","1.5982","-0.65%"
"Dec 29, 2020","1.6100","1.6120","1.6138","1.6062","-0.09%"
"Dec 28, 2020","1.6115","1.6098","1.6156","1.6018","0.35%"
"Dec 25, 2020","1.6058","1.6052","1.6091","1.5995","0.09%"
