Date,Price,Open,High,Low,Vol.,Change %
"Feb 25, 2021",411.73,414.08,415.38,411.73,260.37M,-0.36%
"Feb 24, 2021",413.21,410.96,413.7,410.62,294.35M,0.46%
"Feb 23, 2021",411.32,413.18,414.5,406.68,273.44M,-0.42%
"Feb 22, 2021",413.06,413.81,413.81,409.55,207.70M,-0.44%
"Feb 19, 2021",414.88,413.07,415.72,412.27,227.84M,0.53%
"Feb 18, 2021",412.7,415.87,417.26,411.87,202.09M,-0.82%
"Feb 17, 2021",416.1,418.64,418.64,415.56,193.91M,-0.74%
"Feb 16, 2021",419.2,419.88,420.57,418.71,184.55M,-0.06%
"Feb 15, 2021",419.47,415.82,420.14,415.82,194.86M,1.32%
"Feb 12, 2021",414,411.12,414,409.25,157.25M,0.64%
"Feb 11, 2021",411.35,409.97,411.56,409.52,174.14M,0.46%
"Feb 10, 2021",409.47,411.21,411.92,407.48,210.43M,-0.23%
"Feb 09, 2021",410.42,411.01,411.12,408.9,161.50M,-0.09%
"Feb 08, 2021",410.78,410.16,412.29,410.16,219.97M,0.30%
"Feb 05, 2021",409.54,410.08,411.59,408.46,253.71M,0.00%
"Feb 04, 2021",409.54,407.07,409.81,406.92,243.16M,0.56%
"Feb 03, 2021",407.27,407.64,410.13,406.44,229.68M,0.33%
"Feb 02, 2021",405.92,402.26,406.43,402.26,202.27M,1.29%
"Feb 01, 2021",400.77,397.08,401.86,397.08,184.28M,1.24%
"Jan 29, 2021",395.85,401.21,401.21,395.85,244.28M,-1.87%
"Jan 28, 2021",403.39,400.86,404.48,394.4,257.03M,0.10%
"Jan 27, 2021",402.98,407.63,408.32,399.24,266.84M,-1.16%
"Jan 26, 2021",407.7,404.75,409.76,404.75,197.86M,0.63%
"Jan 25, 2021",405.13,410.18,410.86,403.9,211.86M,-0.83%
"Jan 22, 2021",408.54,409.88,409.88,405.74,191.47M,-0.57%
"Jan 21, 2021",410.89,412.45,413.98,410.79,172.92M,0.01%
"Jan 20, 2021",410.84,408.64,411.93,408.62,172.62M,0.72%
"Jan 19, 2021",407.92,410.15,410.86,407.57,172.62M,-0.19%
"Jan 18, 2021",408.68,407.02,408.75,406.39,125.09M,0.20%
"Jan 15, 2021",407.85,411.19,411.19,405.42,218.52M,-1.01%
"Jan 14, 2021",412,409.71,412.46,409.71,194.33M,0.72%
"Jan 13, 2021",409.07,408.81,409.74,407.94,181.75M,0.11%
"Jan 12, 2021",408.61,409.17,410.11,407.34,190.73M,0.05%
"Jan 11, 2021",408.41,410.41,410.97,406.45,182.56M,-0.67%
"Jan 08, 2021",411.17,410.02,411.92,410.02,216.73M,0.66%
"Jan 07, 2021",408.49,408.09,409.39,406.46,235.10M,0.51%
"Jan 06, 2021",406.41,402.08,407.3,400.5,286.02M,1.36%
"Jan 05, 2021",400.94,400.84,402.78,399.35,184.27M,-0.19%
"Jan 04, 2021",401.69,400.59,405.76,400.42,217.96M,0.67%
"Dec 31, 2020",399.03,400.09,400.23,398.5,86.91M,-0.30%
"Dec 30, 2020",400.25,401.73,402.75,400.19,108.65M,-0.34%
"Dec 29, 2020",401.61,399.87,403.26,399.87,161.39M,0.76%
"Dec 28, 2020",398.58,396.61,399.12,396.61,68.06M,0.66%
"Dec 24, 2020",395.98,395.99,396.67,395.88,112.25M,0.12%
"Dec 23, 2020",395.49,392.09,395.68,392.05,170.47M,1.08%
"Dec 22, 2020",391.25,387.76,391.79,387.76,153.68M,1.18%
"Dec 21, 2020",386.69,392.14,392.14,381.63,277.90M,-2.33%
"Dec 18, 2020",395.9,396.51,399.07,395.72,347.21M,-0.35%
"Dec 17, 2020",397.28,396.86,398.49,396.86,207.35M,0.30%
"Dec 16, 2020",396.08,393.79,396.85,393.79,227.33M,0.82%
"Dec 15, 2020",392.84,391.68,393.42,390.96,204.63M,0.25%
"Dec 14, 2020",391.85,391.68,394.45,391.68,207.74M,0.44%
"Dec 11, 2020",390.12,392.64,392.64,387.2,244.83M,-0.77%
"Dec 10, 2020",393.15,394.54,395.44,391.3,253.40M,-0.44%
"Dec 09, 2020",394.9,394.21,396.61,394.21,206.03M,0.32%
"Dec 08, 2020",393.64,392.74,393.9,390.55,180.04M,0.20%
"Dec 07, 2020",392.84,393.48,393.63,390.29,221.22M,-0.30%
"Dec 04, 2020",394.04,391.54,394.04,391.54,260.75M,0.59%
"Dec 03, 2020",391.72,391.91,392.1,389.81,226.88M,0.01%
"Dec 02, 2020",391.69,390.96,391.97,389.6,246.62M,-0.05%
"Dec 01, 2020",391.9,389.98,393.11,389.98,241.25M,0.65%
"Nov 30, 2020",389.36,392.29,393.87,389.36,370.61M,-0.98%
"Nov 27, 2020",393.23,391.25,393.5,390.73,312.10M,0.41%
"Nov 26, 2020",391.63,392.44,393.07,391.22,193.42M,-0.12%
"Nov 25, 2020",392.09,393,393.68,390.69,280.45M,-0.08%
"Nov 24, 2020",392.39,390.59,392.39,390.45,316.72M,0.91%
"Nov 23, 2020",388.84,390.66,392.97,388.84,234.77M,-0.20%
"Nov 20, 2020",389.61,387.38,390.55,386.95,214.27M,0.52%
"Nov 19, 2020",387.6,388.41,388.56,386.46,237.68M,-0.75%
"Nov 18, 2020",390.54,388.3,391.08,387.14,249.03M,0.44%
"Nov 17, 2020",388.82,389.13,389.97,386.89,284.76M,-0.24%
"Nov 16, 2020",389.74,386.89,391.57,386.09,337.49M,1.18%
"Nov 13, 2020",385.18,384.39,386.58,383.51,241.86M,0.01%
"Nov 12, 2020",385.16,386.8,387.85,384.58,267.75M,-0.88%
"Nov 11, 2020",388.56,384.71,389.07,384.71,310.29M,1.08%
"Nov 10, 2020",384.42,380.66,385.43,380.03,461.69M,0.90%
"Nov 09, 2020",380.99,368.13,385.81,368.13,534.41M,3.98%
"Nov 06, 2020",366.4,367.16,368.22,363.26,217.41M,-0.20%
"Nov 05, 2020",367.12,364,367.96,364,241.66M,1.05%
"Nov 04, 2020",363.31,354.38,363.49,351.33,241.85M,2.05%
"Nov 03, 2020",356.01,349.16,356.03,349.16,233.72M,2.34%
"Nov 02, 2020",347.86,343.2,348.41,341.34,208.38M,1.61%
"Oct 30, 2020",342.36,340.61,342.94,338.84,228.70M,0.18%
"Oct 29, 2020",341.76,342.1,344.54,338.57,270.19M,-0.12%
"Oct 28, 2020",342.17,351.18,351.18,339.75,314.63M,-2.95%
"Oct 27, 2020",352.58,356.36,356.72,352.13,216.10M,-0.95%
"Oct 26, 2020",355.95,360.72,360.91,355.88,208.62M,-1.81%
"Oct 23, 2020",362.5,360.21,364.11,359.96,210.39M,0.62%
"Oct 22, 2020",360.27,360.46,361.33,356.43,188.29M,-0.14%
"Oct 21, 2020",360.79,365.99,366.33,360.65,191.38M,-1.29%
"Oct 20, 2020",365.51,366.26,367.68,365.03,179.89M,-0.35%
"Oct 19, 2020",366.81,368.06,370.7,366.12,143.51M,-0.18%
"Oct 16, 2020",367.48,363.45,368.7,363.45,203.75M,1.26%
"Oct 15, 2020",362.91,369.65,369.65,361.19,206.97M,-2.08%
"Oct 14, 2020",370.62,370.48,372.11,370.02,164.94M,-0.09%
"Oct 13, 2020",370.96,373.15,373.15,369.89,192.19M,-0.55%
"Oct 12, 2020",373,370.95,373.58,370.72,167.99M,0.72%
"Oct 09, 2020",370.35,368.66,370.56,368.66,178.61M,0.55%
"Oct 08, 2020",368.31,366.37,369.48,366.16,204.92M,0.78%
"Oct 07, 2020",365.45,365.65,367.14,364.43,192.67M,-0.12%
"Oct 06, 2020",365.88,366.18,367.41,363.97,225.29M,0.07%
"Oct 05, 2020",365.63,363.61,366.35,363.61,178.09M,0.81%
"Oct 02, 2020",362.69,360.58,362.69,357.63,189.19M,0.25%
"Oct 01, 2020",361.8,361.91,364.43,360.37,200.72M,0.20%
"Sep 30, 2020",361.09,360.85,363.36,358.82,213.22M,-0.11%
"Sep 29, 2020",361.49,363.24,363.24,360.78,170.67M,-0.52%
"Sep 28, 2020",363.39,357.03,363.82,357.03,214.88M,2.22%
"Sep 25, 2020",355.51,356.15,356.96,351.24,204.97M,-0.10%
"Sep 24, 2020",355.85,357.9,358.81,354.58,208.30M,-1.02%
"Sep 23, 2020",359.53,358.26,363.21,358.26,203.30M,0.55%
"Sep 22, 2020",357.55,357.24,359.94,357.24,89.31M,0.20%
"Sep 21, 2020",356.82,367.86,367.86,355.87,110.78M,-3.24%
"Sep 18, 2020",368.78,370.9,371.94,368.78,489.80M,-0.66%
"Sep 17, 2020",371.23,372.07,372.07,368.25,187.08M,-0.51%
"Sep 16, 2020",373.13,371.2,373.15,370.93,191.62M,0.58%
"Sep 15, 2020",370.96,368.4,371.97,368.04,184.55M,0.66%
"Sep 14, 2020",368.51,368.74,371.04,367.49,155.91M,0.15%
"Sep 11, 2020",367.96,367.54,369.06,366.17,163.92M,0.13%
"Sep 10, 2020",367.48,369.82,370.57,366.27,181.61M,-0.59%
"Sep 09, 2020",369.65,363.24,370.2,363.24,189.77M,1.62%
"Sep 08, 2020",363.75,367.89,368.77,360.82,207.36M,-1.15%
"Sep 07, 2020",367.97,362.14,368.46,362.14,154.60M,1.67%
"Sep 04, 2020",361.93,365.1,369.19,359.58,228.39M,-1.13%
"Sep 03, 2020",366.08,372.13,375.92,364.9,209.69M,-1.40%
"Sep 02, 2020",371.28,366.04,373.19,366.04,187.96M,1.66%
"Sep 01, 2020",365.23,367.3,369.41,362.82,230.95M,-0.35%
"Aug 31, 2020",366.51,369.36,371.35,366.32,115.95M,-0.62%
"Aug 28, 2020",368.8,370.71,371.47,367.16,213.99M,-0.52%
"Aug 27, 2020",370.72,373.17,373.3,370.7,161.99M,-0.64%
"Aug 26, 2020",373.12,369.87,373.13,368.46,131.26M,0.91%
"Aug 25, 2020",369.75,371.36,374.11,369.75,154.80M,-0.30%
"Aug 24, 2020",370.85,365.8,371.97,365.8,136.82M,1.58%
"Aug 21, 2020",365.09,366.43,367.87,361.98,150.94M,-0.15%
"Aug 20, 2020",365.64,368.14,368.14,364.19,140.32M,-1.07%
"Aug 19, 2020",369.58,367.08,369.58,365.93,124.01M,0.65%
"Aug 18, 2020",367.18,368.94,371.23,366.2,141.93M,-0.56%
"Aug 17, 2020",369.26,367.89,369.63,366.24,127.19M,0.32%
"Aug 14, 2020",368.07,372.24,372.24,365.33,148.68M,-1.20%
"Aug 13, 2020",372.53,373.92,374.2,372.1,153.41M,-0.63%
"Aug 12, 2020",374.88,370.6,375.48,369.83,187.15M,1.11%
"Aug 11, 2020",370.76,365.79,372.54,365.79,218.33M,1.68%
"Aug 10, 2020",364.65,364.09,366.32,362.81,147.88M,0.30%
"Aug 07, 2020",363.55,362.25,364,360.53,156.09M,0.29%
"Aug 06, 2020",362.49,364.82,366.33,360.98,207.51M,-0.73%
"Aug 05, 2020",365.16,363.78,367.09,363.78,206.11M,0.49%
"Aug 04, 2020",363.39,364.2,365.92,361.3,221.53M,-0.07%
"Aug 03, 2020",363.64,356.38,364.42,355.21,226.21M,2.05%
"Jul 31, 2020",356.33,359.66,363.35,356.28,255.53M,-0.89%
"Jul 30, 2020",359.52,367.9,367.9,356.52,286.98M,-2.16%
"Jul 29, 2020",367.45,367.37,368.75,366.85,181.76M,-0.06%
"Jul 28, 2020",367.68,366.59,368.08,364.75,168.24M,0.42%
"Jul 27, 2020",366.15,366.68,367.58,365.01,183.36M,-0.31%
"Jul 24, 2020",367.29,371.32,371.32,365.76,187.26M,-1.70%
"Jul 23, 2020",373.65,374.36,376.27,372.9,168.51M,0.06%
"Jul 22, 2020",373.44,375.74,375.82,372.02,189.25M,-0.87%
"Jul 21, 2020",376.7,376.97,380.26,376.14,240.69M,0.32%
"Jul 20, 2020",375.51,372.16,376.21,369.82,165.09M,0.75%
"Jul 17, 2020",372.71,372.88,373.11,371.11,194.74M,0.16%
"Jul 16, 2020",372.13,372.7,372.75,369.94,176.76M,-0.47%
"Jul 15, 2020",373.87,368.99,375.46,368.99,222.16M,1.76%
"Jul 14, 2020",367.4,368.52,368.52,363.56,201.14M,-0.84%
"Jul 13, 2020",370.5,368.14,370.73,367.77,182.83M,1.00%
"Jul 10, 2020",366.83,362.84,367.02,361.78,174.62M,0.88%
"Jul 09, 2020",363.64,367.41,368.7,363.01,180.41M,-0.77%
"Jul 08, 2020",366.48,367.84,369.34,365.79,181.62M,-0.67%
"Jul 07, 2020",368.96,370.11,370.11,366.46,175.81M,-0.61%
"Jul 06, 2020",371.21,367.31,372.37,367.31,198.93M,1.58%
"Jul 03, 2020",365.43,368.49,369.28,364.22,140.95M,-0.78%
"Jul 02, 2020",368.29,362.58,368.85,362.58,237.88M,1.97%
"Jul 01, 2020",361.19,360.81,362.92,356.66,198.70M,0.24%
"Jun 30, 2020",360.34,360.46,361.55,358.04,226.24M,0.13%
"Jun 29, 2020",359.89,357.66,361.52,356.32,200.54M,0.44%
