,Date,Close
337,2016-04-18,40.05
338,2016-04-19,41.26
339,2016-04-20,42.63
340,2016-04-21,43.43
341,2016-04-22,43.72
342,2016-04-25,42.98
343,2016-04-26,44.67
344,2016-04-27,45.32
345,2016-04-28,45.87
346,2016-04-29,46.0
347,2016-05-02,44.92
348,2016-05-03,43.86
349,2016-05-04,44.05
350,2016-05-05,44.47
351,2016-05-06,44.61
352,2016-05-09,43.26
353,2016-05-10,44.55
354,2016-05-11,46.01
355,2016-05-12,46.43
356,2016-05-13,46.35
357,2016-05-16,47.89
358,2016-05-17,48.56
359,2016-05-18,47.98
360,2016-05-19,48.49
361,2016-05-20,47.47
362,2016-05-23,48.11
363,2016-05-24,49.14
364,2016-05-25,49.7
365,2016-05-26,49.37
366,2016-05-27,49.55
367,2016-05-30,49.55
368,2016-05-31,48.87
369,2016-06-01,48.92
370,2016-06-02,49.02
371,2016-06-03,48.85
372,2016-06-06,49.73
373,2016-06-07,50.42
374,2016-06-08,51.5
375,2016-06-09,50.44
376,2016-06-10,48.92
377,2016-06-13,48.57
378,2016-06-14,47.88
379,2016-06-15,47.46
380,2016-06-16,46.01
381,2016-06-17,48.22
382,2016-06-20,49.3
383,2016-06-21,48.85
384,2016-06-22,48.98
385,2016-06-23,50.18
386,2016-06-24,47.61
387,2016-06-27,46.62
388,2016-06-28,48.08
389,2016-06-29,49.53
390,2016-06-30,48.38
391,2016-07-01,49.26
392,2016-07-04,49.26
393,2016-07-05,46.85
394,2016-07-06,47.87
395,2016-07-07,45.2
396,2016-07-08,45.16
397,2016-07-11,44.54
398,2016-07-12,46.62
399,2016-07-13,45.11
400,2016-07-14,45.49
401,2016-07-15,46.26
402,2016-07-18,45.22
403,2016-07-19,44.47
404,2016-07-20,44.94
405,2016-07-21,44.53
406,2016-07-22,44.27
407,2016-07-25,43.05
408,2016-07-26,42.65
409,2016-07-27,41.89
410,2016-07-28,41.11
411,2016-07-29,41.38
412,2016-08-01,40.05
413,2016-08-02,39.72
414,2016-08-03,41.19
415,2016-08-04,41.78
416,2016-08-05,41.98
417,2016-08-08,42.87
418,2016-08-09,42.73
419,2016-08-10,41.48
420,2016-08-11,43.41
421,2016-08-12,44.73
422,2016-08-15,45.68
423,2016-08-16,46.39
424,2016-08-17,46.9
425,2016-08-18,48.34
426,2016-08-19,48.48
427,2016-08-22,47.05
428,2016-08-23,47.57
429,2016-08-24,46.78
430,2016-08-25,47.38
431,2016-08-26,47.3
432,2016-08-29,46.95
433,2016-08-30,46.27
434,2016-08-31,44.84
435,2016-09-01,43.51
436,2016-09-02,44.24
437,2016-09-05,44.24
438,2016-09-06,44.88
439,2016-09-07,46.14
440,2016-09-08,47.31
441,2016-09-09,45.72
442,2016-09-12,46.05
443,2016-09-13,44.97
444,2016-09-14,43.62
445,2016-09-15,43.72
446,2016-09-16,43.14
