,Date,Open,High,Low,Close
1031,2018-12-14,1.13596,1.13643,1.12689,1.13038
1032,2018-12-17,1.12998,1.1357,1.12977,1.13464
1033,2018-12-18,1.13464,1.14015,1.13359,1.13612
1034,2018-12-19,1.13585,1.14386,1.13585,1.13722
1035,2018-12-20,1.13731,1.14852,1.13693,1.1444
1036,2018-12-21,1.14444,1.14733,1.13553,1.13664
1037,2018-12-24,1.13731,1.14378,1.13599,1.14211
1038,2018-12-25,1.13731,1.14378,1.13599,1.14211
1039,2018-12-26,1.14042,1.14134,1.13419,1.13497
1040,2018-12-27,1.13499,1.14533,1.13499,1.14275
1041,2018-12-28,1.14275,1.1472,1.14244,1.14398
1042,2018-12-31,1.1433,1.14654,1.14208,1.14499
1043,2019-01-01,1.1433,1.14654,1.14208,1.14499
1044,2019-01-02,1.1485,1.14923,1.13244,1.13415
1045,2019-01-03,1.13415,1.14101,1.13083,1.13893
1046,2019-01-04,1.13916,1.14183,1.1345,1.13957
1047,2019-01-07,1.13944,1.14818,1.13942,1.14725
1048,2019-01-08,1.14728,1.14839,1.14213,1.14391
1049,2019-01-09,1.14392,1.15571,1.14363,1.15409
1050,2019-01-10,1.1541,1.15691,1.14838,1.14985
1051,2019-01-11,1.14984,1.15399,1.14573,1.14633
1052,2019-01-14,1.14571,1.14814,1.14498,1.14671
1053,2019-01-15,1.14667,1.1489,1.13812,1.14115
1054,2019-01-16,1.14114,1.14242,1.13771,1.13903
1055,2019-01-17,1.13903,1.14053,1.13693,1.13867
1056,2019-01-18,1.13867,1.14094,1.13525,1.13608
1057,2019-01-21,1.13595,1.13904,1.13561,1.13637
1058,2019-01-22,1.13634,1.13731,1.13353,1.13588
1059,2019-01-23,1.13583,1.13937,1.135,1.13782
1060,2019-01-24,1.13782,1.13907,1.12886,1.13003
1061,2019-01-25,1.13006,1.14169,1.12993,1.14047
1062,2019-01-28,1.13997,1.1443,1.13894,1.14257
1063,2019-01-29,1.1424,1.14495,1.14105,1.14303
1064,2019-01-30,1.14301,1.1501,1.14054,1.14778
1065,2019-01-31,1.14776,1.15135,1.1435,1.14444
1066,2019-02-01,1.14454,1.14877,1.14336,1.14523
1067,2019-02-04,1.14502,1.14597,1.14235,1.14342
1068,2019-02-05,1.14342,1.14398,1.14003,1.14042
1069,2019-02-06,1.14043,1.14088,1.13602,1.13604
1070,2019-02-07,1.13603,1.13693,1.13233,1.13388
1071,2019-02-08,1.13384,1.13501,1.13203,1.1321
